95,-0.11013,1.7047,9.5005
96,-0.088585,1.7358,9.4622
97,-0.13168,1.6233,9.5963
98,-0.15802,1.6305,9.7064
99,-0.25378,1.6544,9.8453
100,-0.18196,1.7047,9.7543
101,-0.095768,1.755,9.5196
102,-0.076614,1.798,9.3975
103,-0.249,1.822,9.4574
104,-0.34955,1.8483,9.5771
105,-0.30885,1.8411,9.7016
106,-0.22266,1.8004,9.8668
107,-0.16041,1.7142,9.7471
108,-0.18435,1.7286,9.4071
109,-0.23463,1.7358,9.1629
110,-0.15562,1.7095,9.2132
111,-0.14605,1.6616,9.7662
112,-0.17957,1.6544,9.8979
113,-0.21548,1.6616,9.6346
114,-0.26576,1.7382,9.4263
115,-0.23703,1.81,9.3042
116,-0.21548,1.7454,9.5436
117,-0.007183,1.6807,9.8596
118,0.009577,1.6951,9.8405
119,-0.10295,1.7669,9.5699
120,-0.1652,1.7406,9.3592
121,-0.16281,1.7885,9.5005
122,-0.17238,1.7597,9.8165
123,-0.062249,1.7047,9.941
124,0.052672,1.7047,9.6298
125,-0.14844,1.7238,9.1869
126,-0.45729,1.8028,9.2036
127,-0.21548,1.8052,9.6394
128,0.09098,1.7166,9.5795
129,0.13168,1.6257,9.6729
130,-0.035913,1.6352,9.7064
131,-0.13647,1.7023,9.5867
132,0.021548,1.7645,9.4191
133,0.25378,1.7526,9.1988
134,0.2083,1.7837,9.4071
135,0.088585,1.8172,9.6417
136,0.021548,1.7717,9.4454
137,0.04549,1.7885,9.0504
138,0.021548,1.8483,9.1629
139,-0.19154,1.8555,9.9602
140,-0.21787,1.901,10.008
141,-0.11971,1.8651,9.2683
142,-0.062249,1.8483,9.0264
143,-0.083797,1.8244,9.6561
144,-0.040701,1.8076,10.085
145,0.088585,1.7933,9.9243
146,0.064643,1.798,9.5723
147,0.062249,1.8124,9.5292
148,0.15083,1.8244,9.8477
149,-0.19632,1.798,9.965
150,-0.42138,1.8699,9.5484
151,-0.47884,1.9154,8.799
152,-0.60094,2.0063,9.1246
153,-0.73741,1.9465,9.85
154,-0.79248,1.8818,10.113
155,-0.62489,1.8962,9.8644
156,-0.61531,1.98,9.5412
157,-0.97683,2.0087,9.4789
158,-0.90261,2.0135,9.5196
159,-0.61292,2.0039,9.4143
160,-0.48363,2.0351,9.3904
161,-0.60573,2.083,9.194
162,-0.7853,2.1691,9.1845
